,Time,Open,High,Low,Close,Volume
0,2019-05-16,1885.94,1917.51,1882.29,1907.57,4699409.0
1,2019-05-15,1827.95,1874.43,1823.0,1871.15,4692642.0
2,2019-05-14,1839.5,1852.44,1815.75,1840.12,4629107.0
3,2019-05-13,1836.56,1846.54,1818.0,1822.68,5783410.0
4,2019-05-10,1898.0,1903.79,1856.0,1889.98,5717994.0
5,2019-05-09,1900.0,1909.4,1876.0,1899.87,5308263.0
6,2019-05-08,1918.87,1935.37,1910.0,1917.77,4078568.0
7,2019-05-07,1939.99,1949.1,1903.38,1921.0,5902134.0
8,2019-05-06,1917.98,1959.0,1910.5,1950.55,5417841.0
9,2019-05-03,1949.0,1964.4,1936.0,1962.46,6381564.0
10,2019-05-02,1913.33,1921.55,1881.87,1900.82,3962915.0
11,2019-05-01,1933.09,1943.64,1910.55,1911.52,3116964.0
12,2019-04-30,1930.1,1935.71,1906.95,1926.52,3506007.0
13,2019-04-29,1949.0,1956.34,1934.09,1938.43,4021255.0
14,2019-04-26,1929.0,1951.0,1898.0,1950.63,8432563.0
15,2019-04-25,1917.0,1922.45,1900.31,1902.25,6099101.0
16,2019-04-24,1925.0,1929.69,1898.16,1901.75,3675781.0
17,2019-04-23,1891.2,1929.26,1889.58,1923.77,4640441.0
18,2019-04-22,1855.4,1888.42,1845.64,1887.31,3373807.0
19,2019-04-18,1868.79,1870.82,1859.48,1861.69,2749882.0
20,2019-04-17,1872.99,1876.47,1860.44,1864.82,2893517.0
21,2019-04-16,1851.35,1869.77,1848.0,1863.04,3044618.0
22,2019-04-15,1842.0,1846.85,1818.9,1844.87,3724423.0
23,2019-04-12,1848.4,1851.5,1841.3,1843.06,3114413.0
24,2019-04-11,1848.7,1849.95,1840.31,1844.07,2654842.0
25,2019-04-10,1841.0,1848.0,1828.81,1847.33,2963973.0
26,2019-04-09,1845.49,1853.09,1831.78,1835.84,3714368.0
27,2019-04-08,1833.23,1850.2,1825.11,1849.86,3752841.0
28,2019-04-05,1829.0,1838.58,1825.19,1837.28,3640476.0
29,2019-04-04,1820.65,1828.75,1804.2,1818.86,3623867.0
30,2019-04-03,1826.72,1830.0,1809.62,1820.7,3980590.0
31,2019-04-02,1811.02,1820.0,1805.12,1813.98,3448115.0
32,2019-04-01,1800.11,1815.67,1798.73,1814.19,4238752.0
33,2019-03-29,1786.58,1792.86,1776.63,1780.75,3320793.0
34,2019-03-28,1770.0,1777.93,1753.47,1773.42,3042958.0
35,2019-03-27,1784.13,1787.5,1745.68,1765.7,4324801.0
36,2019-03-26,1793.0,1805.77,1773.36,1783.76,4865880.0
37,2019-03-25,1757.79,1782.68,1747.5,1774.26,5103803.0
38,2019-03-22,1810.17,1818.98,1763.11,1764.77,6362983.0
39,2019-03-21,1796.26,1823.75,1787.28,1819.26,5767797.0
40,2019-03-20,1769.94,1799.5,1767.03,1797.27,6265633.0
41,2019-03-19,1753.51,1784.16,1753.51,1761.85,6364161.0
42,2019-03-18,1712.7,1750.0,1712.63,1742.15,5429058.0
43,2019-03-15,1703.0,1718.8,1693.13,1712.36,7550870.0
44,2019-03-14,1691.2,1702.0,1684.34,1686.22,2946618.0
45,2019-03-13,1683.0,1700.0,1679.35,1690.81,3552041.0
46,2019-03-12,1669.0,1684.27,1660.98,1673.1,3614498.0
47,2019-03-11,1626.12,1672.29,1626.01,1670.62,3876352.0
48,2019-03-08,1604.01,1622.72,1586.57,1620.8,4667014.0
49,2019-03-07,1667.37,1669.75,1620.51,1625.95,4957017.0
50,2019-03-06,1695.97,1697.75,1668.28,1668.95,3996001.0
51,2019-03-05,1702.95,1707.8,1689.01,1692.43,3681522.0
52,2019-03-04,1685.0,1709.43,1674.36,1696.17,6167358.0
53,2019-03-01,1655.13,1674.26,1651.0,1671.73,4974877.0
54,2019-02-28,1635.25,1651.77,1633.83,1639.83,3025891.0
55,2019-02-27,1628.18,1641.81,1615.1,1641.09,3148824.0
56,2019-02-26,1625.98,1639.99,1616.13,1636.4,2665815.0
57,2019-02-25,1641.45,1654.6,1630.39,1633.0,3184462.0
58,2019-02-22,1623.5,1634.94,1621.17,1631.56,3096191.0
59,2019-02-21,1619.85,1623.56,1600.91,1619.44,3483392.0
60,2019-02-20,1630.0,1634.93,1610.12,1622.1,3337589.0
61,2019-02-19,1601.0,1634.0,1600.56,1627.58,3681656.0
